BALEARIC,Period,Year,season,LAT,LONG,effort,front_distance,front_dens,gradient,BATIMETRY,DIST,CHL,CHLchange,CHLgrad,SST,SSTchange,SSTgrad,SSTanomaly,SSH
0,13,2009,1,36.83,-6.70,1,6.33,0.06,61.66,28.00,23575.59,2.04,-59.84,63.47,16.79,-30.13,3.42,-0.82,0.04
0,13,2009,1,36.83,-6.67,0,7.00,0.06,50.00,20.00,21465.39,2.04,-59.84,62.12,16.79,-30.13,2.99,-0.82,0.04
0,13,2009,1,36.86,-8.97,2,4.22,0.07,65.04,205.00,13989.77,0.38,-77.10,66.58,17.08,-22.63,6.81,-0.04,0.03
0,13,2009,1,36.86,-8.86,1,4.00,0.07,71.96,270.00,15442.94,0.44,-68.03,61.24,16.98,-21.78,6.33,-0.72,0.03
0,13,2009,1,36.86,-8.83,0,4.55,0.06,74.27,307.00,17103.68,0.45,-66.82,50.62,16.85,-21.09,5.89,-0.82,0.03
0,13,2009,1,36.86,-8.79,0,5.00,0.06,74.27,296.00,19052.50,0.45,-66.82,47.69,16.85,-21.09,5.15,-0.82,0.03
0,13,2009,1,36.86,-8.75,0,5.00,0.06,74.27,248.00,21207.60,0.44,-73.92,50.89,16.78,-20.86,4.85,-0.92,0.03
0,13,2009,1,36.86,-8.39,1,7.33,0.05,69.63,178.00,24125.19,0.36,-85.00,59.94,17.24,-24.64,4.74,-0.34,0.03
0,13,2009,1,36.86,-7.96,1,3.77,0.06,84.41,359.00,11704.56,0.44,-87.94,73.00,17.35,-26.33,4.14,-0.77,0.04
0,13,2009,1,36.86,-7.17,0,6.33,0.06,64.22,273.00,37397.48,0.30,-77.51,55.86,17.83,-26.38,3.97,-0.67,0.05
0,13,2009,1,36.86,-7.10,1,5.66,0.06,56.36,157.00,35884.70,0.41,-59.14,62.53,17.51,-25.88,4.89,-0.60,0.05
0,13,2009,1,36.86,-6.67,0,7.33,0.05,42.10,18.00,18454.64,2.10,-57.94,57.58,16.66,-30.02,3.69,-0.82,0.04
0,13,2009,1,36.86,-6.63,0,8.33,0.05,42.10,15.00,16373.62,2.41,-65.18,43.40,16.54,-30.96,3.27,-0.82,0.04
0,13,2009,1,36.90,-8.97,2,4.11,0.07,65.04,129.00,10093.71,0.55,-76.70,77.05,16.70,-24.10,7.69,-0.37,0.03
0,13,2009,1,36.90,-8.86,1,5.33,0.06,71.96,131.00,11993.33,0.53,-69.14,71.63,16.67,-22.45,7.22,-0.85,0.03
0,13,2009,1,36.90,-8.75,1,5.66,0.06,74.27,108.00,17619.02,0.50,-68.11,63.25,16.72,-22.82,5.49,-0.67,0.03
0,13,2009,1,36.90,-8.39,1,8.66,0.05,69.63,124.00,20140.49,0.44,-77.33,70.68,16.99,-24.89,5.15,-0.47,0.03
0,13,2009,1,36.90,-7.96,1,5.44,0.05,84.41,142.00,8072.04,0.55,-85.62,81.42,17.16,-27.29,5.04,-0.40,0.04
0,13,2009,1,36.90,-7.82,1,2.66,0.05,45.07,561.00,8113.82,0.31,-91.59,68.62,17.65,-26.23,5.94,-0.24,0.04
0,13,2009,1,36.90,-7.78,0,2.44,0.05,45.07,563.00,9908.85,0.31,-91.59,60.73,17.65,-26.23,6.70,-0.37,0.04
0,13,2009,1,36.90,-7.42,0,9.00,0.06,27.11,431.00,28145.79,0.20,-91.49,58.71,18.26,-27.85,4.59,-0.25,0.05
0,13,2009,1,36.90,-7.10,0,5.00,0.07,56.36,136.00,32600.51,0.48,-54.91,70.30,17.45,-26.53,5.74,-0.67,0.05
0,13,2009,1,36.90,-7.06,0,5.44,0.07,39.59,114.00,30790.31,0.56,-75.45,68.21,17.32,-26.95,5.06,-0.70,0.05
0,13,2009,1,36.90,-6.63,0,9.00,0.04,42.10,14.00,13336.07,2.35,-71.83,44.81,16.53,-30.72,3.71,-0.89,0.04
0,13,2009,1,36.90,-6.59,0,10.44,0.03,42.10,12.00,11261.70,2.73,-65.39,55.61,16.46,-31.72,3.71,-0.84,0.04
0,13,2009,1,36.94,-9.01,0,5.77,0.06,78.52,90.00,8166.55,0.76,-71.62,70.77,16.63,-23.75,5.79,-0.33,0.03
0,13,2009,1,36.94,-7.93,0,8.00,0.05,98.46,64.00,3104.52,1.04,-77.04,78.67,16.97,-28.47,5.05,-0.57,0.04
0,13,2009,1,36.94,-7.57,0,3.44,0.06,78.20,495.00,17500.25,0.25,-91.41,63.84,18.07,-27.63,4.65,-0.27,0.04
0,13,2009,1,36.94,-7.53,0,4.33,0.06,78.20,422.00,19209.21,0.22,-87.20,50.96,18.09,-27.94,4.22,-0.19,0.04
0,13,2009,1,36.94,-6.59,0,14.33,0.02,75.00,10.00,8222.67,3.12,-52.84,51.62,16.33,-31.78,2.97,-0.82,0.04
0,13,2009,1,36.94,-8.97,2,6.44,0.06,99.12,114.00,6317.69,0.85,-79.36,76.49,16.41,-24.90,5.79,-0.77,0.03
0,13,2009,1,36.94,-8.86,0,8.00,0.05,82.64,108.00,8814.43,0.65,-78.83,76.05,16.53,-23.90,4.94,-0.67,0.03
0,13,2009,1,36.94,-8.75,1,7.77,0.05,37.09,101.00,13680.31,0.58,-68.02,71.28,16.56,-24.03,4.25,-0.57,0.03
0,13,2009,1,36.94,-8.43,0,10.88,0.04,70.51,115.00,16119.28,0.61,-66.82,73.20,16.80,-26.26,4.09,-0.42,0.03
0,13,2009,1,36.94,-7.96,0,9.00,0.04,98.46,63.00,4477.01,0.96,-76.58,83.57,17.01,-29.11,6.61,-0.59,0.04
1,13,2009,1,36.94,-7.82,1,5.66,0.05,99.70,263.00,4810.02,0.38,-91.99,70.51,17.45,-26.61,6.15,-0.37,0.04
0,13,2009,1,36.94,-7.49,1,5.00,0.07,72.23,371.00,21009.26,0.22,-86.07,56.65,18.11,-28.20,4.47,-0.25,0.05
0,13,2009,1,36.94,-7.46,0,5.11,0.07,72.23,352.00,23026.34,0.22,-86.07,63.37,18.11,-28.20,5.20,-0.35,0.05
0,13,2009,1,36.94,-7.42,1,5.22,0.07,72.23,317.00,25177.09,0.22,-88.01,71.96,18.06,-28.76,5.77,-0.35,0.05
0,13,2009,1,36.94,-7.06,1,6.22,0.06,42.26,92.00,27487.58,0.66,-84.04,72.75,17.19,-26.81,5.44,-0.79,0.05
0,13,2009,1,36.94,-6.56,0,15.66,0.02,88.88,7.00,6154.28,3.53,-62.56,43.53,16.24,-32.31,2.24,-0.82,0.04
0,13,2009,1,36.97,-9.01,1,8.11,0.06,78.52,89.00,5064.05,1.24,-68.75,63.32,16.24,-24.79,5.03,-0.77,0.03
0,13,2009,1,36.97,-8.97,0,9.00,0.05,99.12,43.00,3108.75,1.24,-68.75,67.19,16.24,-24.79,5.03,-0.87,0.03
0,13,2009,1,36.97,-8.86,1,10.55,0.04,82.64,82.00,6176.38,0.91,-72.91,67.30,16.37,-24.91,3.01,-0.74,0.03
0,13,2009,1,36.97,-8.75,1,10.00,0.04,37.09,90.00,9784.31,0.86,-71.58,70.76,16.41,-25.03,3.24,-0.80,0.03
0,13,2009,1,36.97,-8.43,1,13.33,0.03,70.51,48.00,12127.87,0.89,-62.91,82.34,16.68,-27.60,4.34,-0.52,0.03
0,13,2009,1,36.97,-7.57,0,2.11,0.07,78.20,184.00,14118.45,0.27,-91.33,82.65,17.82,-29.21,7.77,-0.40,0.04
0,13,2009,1,36.97,-7.42,0,3.44,0.08,72.23,132.00,21343.91,0.29,-87.81,82.59,17.82,-29.40,7.40,-0.37,0.05
0,13,2009,1,36.97,-7.06,0,7.11,0.06,42.26,77.00,24243.35,0.80,-76.98,79.78,17.08,-27.34,6.39,-0.67,0.05
0,13,2009,1,37.01,-9.01,1,10.55,0.04,94.28,58.00,1854.52,1.29,-73.82,52.39,16.15,-24.28,4.81,-0.85,0.02
0,13,2009,1,37.01,-8.86,1,14.00,0.03,97.67,43.00,3279.69,1.41,-88.21,59.64,16.23,-25.79,2.19,-0.92,0.02
0,13,2009,1,37.01,-8.75,0,14.00,0.03,98.61,65.00,5987.71,1.38,-78.43,65.87,16.32,-26.23,2.58,-0.70,0.02
0,13,2009,1,37.01,-8.43,1,16.77,0.02,98.11,41.00,8136.45,1.27,-59.54,76.57,16.58,-27.89,4.97,-0.67,0.03
0,13,2009,1,37.01,-7.71,0,7.66,0.05,98.93,46.00,3646.57,0.64,-84.22,82.92,16.95,-30.66,9.89,-0.47,0.04
0,13,2009,1,37.01,-7.67,0,6.33,0.05,98.93,94.00,5610.65,0.65,-92.15,87.36,17.17,-30.31,10.65,-0.64,0.04
0,13,2009,1,37.01,-7.57,0,3.55,0.07,70.00,95.00,10779.17,0.37,-89.42,88.90,17.56,-29.37,8.54,-0.52,0.04
0,13,2009,1,37.01,-7.06,0,8.55,0.06,56.00,48.00,20598.56,1.07,-77.46,82.41,16.97,-28.58,6.74,-0.67,0.05
0,13,2009,1,37.01,-7.03,0,8.66,0.05,56.00,45.00,19221.71,1.13,-82.61,79.14,16.85,-28.13,5.90,-0.67,0.05
0,13,2009,1,37.04,-9.08,0,7.00,0.05,94.28,123.00,8526.62,1.40,-75.42,62.73,16.11,-24.11,4.95,-0.95,0.02
0,13,2009,1,37.04,-9.04,0,9.11,0.04,94.28,41.00,5646.02,1.40,-75.42,56.23,16.11,-24.11,5.25,-1.45,0.02
0,13,2009,1,37.04,-9.01,0,11.66,0.03,94.28,51.00,2845.82,1.43,-36.31,39.38,15.97,-23.87,3.36,-1.45,0.02
0,13,2009,1,37.04,-8.43,1,19.88,0.01,98.11,23.00,4144.99,2.18,-73.84,69.67,16.33,-27.59,4.46,-0.74,0.03
0,13,2009,1,37.04,-8.39,0,20.00,0.01,97.56,21.00,4269.12,2.28,-68.19,66.83,16.32,-27.62,4.71,-0.74,0.03
0,13,2009,1,37.04,-8.36,1,20.00,0.01,97.56,20.00,5324.59,2.40,-76.95,64.57,16.30,-27.31,4.46,-0.37,0.03
0,13,2009,1,37.04,-7.67,0,9.11,0.05,98.93,23.00,2228.10,0.96,-95.73,85.99,16.67,-29.76,9.20,-1.20,0.04
